procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
 0  0            0    193775092        39804       685556    0    0     0     0    0    0  27   1  72   0   0
 0  0            0    192082380        85712      2049848    0    0   753     0 1143 25304   0   0 100   0   0
 0  0            0    192014916        94744      2083008    0    0   149     0  554 27772   0   0 100   0   0
 2  0            0    181373336       117980      3161980    0    0   383     0 4752 54581   2   0  98   0   0
 0  0            0    190040000       117980      3725056    0    0     0     0 2803 5033   1   0  98   0   0
 1  0            0    189700620       117980      3724536    0    0     0     0  600 27260   1   0  99   0   0
 1  0            0    189551064       117980      3724352    0    0     0     0 1177 1718   1   0  99   0   0
 0  0            0    190050564       118288      3725872    0    0     5     0  696  857   1   0  99   0   0
 0  0            0    190015672       121932      3749568    0    0    60     0  536 31205   1   0  99   0   0
 1  0            0    189705864       121932      3749564    0    0     0     0  508 29529   1   0  99   0   0
 1  0            0    188756752       121932      3749528    0    0     0     0  525  231   1   0  99   0   0
 0  0            0    190017644       121932      3749612    0    0     0     0  447  268   0   0 100   0   0
 1  0            0    189703240       121932      3749636    0    0     0     0  569 22400   1   0  99   0   0
 1  0            0    188824164       121932      3749604    0    0     0     0  522  228   1   0  99   0   0
19  0            0     80358024       126280      4089636    0    0    72     0 23166 116984  21   5  74   0   0
19  0            0     75993684       126280      4193084    0    0     0     0 19649 103742  16   3  81   0   0
11  0            0     76097988       126280      4221152    0    0     0     0 18158 93852  16   3  81   0   0
15  0            0     75075468       126280      4392212    0    0     0     0 17668 87150  16   3  81   0   0
31  0            0     70112768       126280      8641668    0    0     0     0 20086 98513  19   3  77   0   0
18  0            0     72165704       126280      4995212    0    0     0     0 18840 91970  18   3  79   0   0
12  0            0     71592560       126280      4860284    0    0     0     0 19510 97758  17   3  80   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
15  0            0     72455176       126280      5043064    0    0     0     0 20368 104836  17   3  80   0   0
 7  0            0     72122876       126280      5009608    0    0     0     0 17404 88370  15   3  83   0   0
16  0            0     71258512       126280      5332028    0    0     0     0 18075 92714  15   3  82   0   0
15  0            0     70785604       126280      5241680    0    0     0     0 16715 82844  15   3  82   0   0
12  0            0     70234448       126280      5662888    0    0     0     0 15793 78953  13   2  84   0   0
16  0            0     68412252       126280      6626432    0    0     0     0 18246 90983  16   3  81   0   0
16  0            0     65727468       126280      7203668    0    0     0     0 18188 88992  16   3  81   0   0
26  0            0     66546192       126280      7504176    0    0     0     0 20544 102185  17   4  79   0   0
22  0            0     66692312       126280      7905692    0    0     0     0 21371 109406  19   3  78   0   0
18  0            0     67420432       126280      7692816    0    0     0     0 23376 118717  20   4  76   0   0
26  0            0     64617408       126280      8637688    0    0     0     0 28354 141559  25   5  70   0   0
26  0            0     65505552       126280      8245656    0    0     0     0 25362 124847  23   4  72   0   0
18  0            0     65861080       126280      8370568    0    0     0     0 23739 117172  21   4  75   0   0
36  1            0     60166168       126280     12332608    0    0     0     0 28111 136491  25   5  69   0   0
30  0            0     63805368       126280      8888792    0    0     0     0 26301 124328  25   5  70   0   0
21  0            0     63762336       126280      9103000    0    0     0     0 24316 121326  21   4  74   0   0
21  0            0     63584236       126280      9342052    0    0     0     0 23840 122144  20   4  76   0   0
20  0            0     62829272       126280      9363512    0    0     0     0 20895 105510  18   4  79   0   0
18  0            0     62711132       126280      9623164    0    0     0     0 20148 101326  17   3  80   0   0
35  0            0     42926448       126280     18919060    0    0     0     0 26756 91311  37   6  57   0   0
52  0            0     39182900       126280     26670080    0    0     0     0 25324 104884  28   5  67   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
18  0            0     58046732       126280     11300260    0    0     0     0 26672 103392  31   6  63   0   0
15  0            0     57823052       126280     11809144    0    0     0     0 22072 105299  20   4  76   0   0
16  0            0     58100388       126280     11812372    0    0     0     0 21007 105277  18   3  79   0   0
33  0            0     58216184       126280     11732304    0    0     0     0 23042 112730  20   4  76   0   0
15  0            0     57982852       126280     11854412    0    0     0     0 21366 107529  17   3  79   0   0
16  0            0     57099140       126280     11835292    0    0     0     0 20184 100231  16   3  81   0   0
22  0            0     57442184       126280     11995680    0    0     0     0 24579 126586  20   4  76   0   0
17  0            0     57692196       126280     12038232    0    0     0     0 25744 131378  22   4  74   0   0
21  0            0     57542352       126280     12181296    0    0     0     0 26445 136234  21   4  75   0   0
28  0            0     57313808       126280     12342132    0    0     0     0 25742 132788  21   4  75   0   0
29  0            0     51045440       126280     14012960    0    0     0     0 29487 127629  28   6  66   0   0
29  0            0     53336224       126280     13310968    0    0     0     0 28677 130781  27   6  67   0   0
45  0            0     52962524       126280     14886404    0    0     0     0 29322 138098  26   6  68   0   0
25  0            0     54169756       126280     13859300    0    0     0     0 28392 135473  24   5  71   0   0
20  0            0     53436600       126280     14185256    0    0     0     0 26602 130933  22   5  73   0   0
23  0            0     53721712       126280     14385596    0    0     0     0 26286 131898  22   4  74   0   0
24  0            0     52665456       126280     14796272    0    0     0     0 28670 136800  25   5  69   0   0
39  0            0     51975484       126280     15457248    0    0     0     0 27581 133335  24   5  71   0   0
28  0            0     51631820       126280     15694656    0    0     0     0 24034 121902  20   4  76   0   0
15  0            0     52719660       126280     15088824    0    0     0     0 27884 135521  24   5  71   0   0
19  0            0     51723356       126280     15639548    0    0     0     0 28534 145378  23   5  72   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
16  0            0     50734508       126280     16752108    0    0     0     0 26293 140788  20   4  76   0   0
24  0            0     49143056       126280     18331448    0    0     0     0 26948 142082  21   4  74   0   0
13  0            0     49182664       126280     18153200    0    0     0     0 25623 131822  20   4  76   0   0
24  0            0     49233000       126280     18288456    0    0     0     0 28783 148864  24   4  72   0   0
16  0            0     48694360       126280     18658236    0    0     0     0 26862 134566  22   4  74   0   0
15  0            0     47991668       126280     19418556    0    0     0     0 26149 130827  22   4  74   0   0
20  0            0     47682760       126280     19813004    0    0     0     0 26411 128032  23   5  72   0   0
21  0            0     47607008       126280     19661860    0    0     0     0 25863 134975  20   4  76   0   0
17  0            0     47357808       126280     19649048    0    0     0     0 26842 136712  22   4  74   0   0
13  0            0     46270800       126280     20066776    0    0     0     0 27968 131869  25   5  70   0   0
23  0            0     46734848       126280     20208464    0    0     0     0 26996 135539  23   4  72   0   0
23  0            0     46302040       126280     20599248    0    0     0     0 23042 113242  20   4  75   0   0
19  0            0     45743548       126280     20850648    0    0     0     0 24391 120413  21   4  75   0   0
35  0            0     45243276       126280     21081876    0    0     0     0 25212 125991  22   4  74   0   0
20  0            0     45018588       126280     19905560    0    0     0     0 24684 121386  22   4  74   0   0
26  0            0     45238108       126280     20658140    0    0     0     0 26589 129925  24   5  72   0   0
24  0            0     47129580       126280     19030212    0    0     0     0 24164 115926  21   4  75   0   0
17  0            0     46931640       126280     19216560    0    0     0     0 21399 104894  18   3  78   0   0
21  0            0     47474064       126280     18934176    0    0     0     0 23726 120940  19   4  77   0   0
16  1            0     46757796       126280     18945276    0    0     0     0 21571 108549  18   3  79   0   0
28  0            0     44980032       126280     18996064    0    0     0     0 22660 116679  19   3  78   0   0
procs -----------------------memory---------------------- ---swap-- -----io---- -system-- --------cpu--------
 r  b         swpd         free         buff        cache   si   so    bi    bo   in   cs  us  sy  id  wa  st
21  1            0     43451092       126280     19136124    0    0     0     0 25085 121475  23   4  73   0   0
22  0            0     42092432       126280     20262888    0    0     0     0 24310 116862  22   4  73   0   0
15  0            0     44605468       126280     19140712    0    0     0     0 23092 111035  21   4  75   0   0
27  0            0     43114908       126280     19864200    0    0     0     0 26379 123367  24   5  71   0   0
 5  0            0     44493776       126280     19316468    0    0     0     0 13096 57692  12   2  86   0   0
 6  0            0     44488876       126280     19213532    0    0     0     0 7900 35550   6   1  93   0   0
 6  0            0     44486608       126280     19181720    0    0     0     0 7995 33828   7   1  92   0   0
 5  0            0     44767948       126280     18842980    0    0     0     0 8063 34543   6   1  93   0   0
 6  0            0     46314584       126280     17524568    0    0     0     0 8149 36058   6   1  93   0   0
 5  0            0     46588732       126280     17350596    0    0     0     0 8346 37709   6   1  92   0   0
